propertyid,location,type,address,bedroom,bathroom,area ( Sq. Yd.),purpose,price,description,mobile,image-src
23687145,"Clifton - Block 4, Clifton, Karachi, Sindh",House,"Clifton, Karachi, Sindh",5,5,330,For Rent,350000,"330 Yards Bungalow For Rent - Ideal For Commercial Use - Boutique , Cafe & Restaurants. 
if You Want An Environment Which Is Absolutely Secured And Peaceful Then It Is The Right Time And The Right Place. Grab This Auspicious Opportunity To Execute Your Dreams Into Reality. 
please Feel Free To Call Us If You Need Further Details About It. We Request That Only Serious Individuals Contact Us To Make An Immediate Deal, And Please Do Not Forget To Mention Zameen. com When Calling.",3421120740,https://media.zameen.com/thumbnails/205051173-800x600.jpeg
24749065,"Clifton, Karachi, Sindh",Flat,"Clifton, Karachi, Sindh",4,5,289,For Rent,185000,"4 Bedrooms With Attached Bathrooms Drawing Dinning Lounge Open Kitchen With Gym Indoor Game Area Jogging Track Conference Hall Reserved Car Parking Beautiful Elevation At Prime Location Of Civil Line Near Clifton Bridge. 
Please Contact Us For More Details.",3363793619,https://media.zameen.com/thumbnails/205039953-800x600.jpeg
25250854,"Tricon Tower, Bath Island, Karachi, Sindh",Flat,"Bath Island, Karachi, Sindh",3,4,244,For Rent,150000,"This 2200 Square Feet Flat suits both investors and the end users. Tired of visiting properties for rent? Let us show you that meets your needs. What could possible get more better than a property priced at Rs View Contact Detail . Plus, it has features that you'd definitely love. This Flat has good value for money. Yes, you heard right. Be a lucky buyer to own a Flat in Karachi. All the important amenities and facilities are made available in Bath Island. 

Property features are mentioned below. 
Staff and visitors will enjoy the facility of an expansive and beautifully designed prayer room. 
With easy access to nearby facilities, along with broadband internet, enjoy a comfortable lifestyle here. 
All apartments come with laundry rooms to make living smarter and easier. 
Stay cozy in your home due to the central heating system. 
Let your troubles melt away by relaxing in this Jacuzzi. 
A well-designed powder room in the residence adds to its luxury. 
An attached study will allow your children to excel in their studies. 

Call us now to book your Flat today.",3412372453,https://media.zameen.com/thumbnails/213165491-800x600.jpeg
26021470,"Clifton, Karachi, Sindh",Flat,"Clifton, Karachi, Sindh",4,4,278,For Rent,160000,"A 2500Sq. ft, 4 bedroom apartment available on rent in Bath Island, Karachi Project Name Sawera Dreams Elevation A masterpiece of its kind Features 3 Bedrooms 4 bathrooms Size 2500 Sq. ft Spacious Drawing & Dining area Open American kitchen Powder Room Additional Features Reception area Balcony Lift Stand by generator Backup generator Ample water Car parking 24hrs CCTV surveillance High class vicinity Surrounding Nearby School, Hospital, Shopping Malls and Restaurants. Electricity, Water supply, Sui Gas also available. For further information please feel free to contact us.",3363793619,https://media.zameen.com/thumbnails/205039938-800x600.jpeg
28668627,"KN Gohar Green City, Shahra-e-Faisal, Karachi, Sindh",House,"Shahra-e-Faisal, Karachi, Sindh",3,3,120,For Rent,47000,"Kn Gohar Green City 120 One Unit Bungalow For Rent Available
3 Km Away From Karachi Airport 
1km Away From Sharing E Faisal Inside Road Of Malir Court 
boundary Walls Bungalows
24 Hours Electricity ,water, Gas, No Load shading
5 Parks, Play Area For Children 
commercial Shops Inside Marts, Barber Beauty palours, Baucher, Dry Cleaner 
security Guard S, Street Cameras 
parking Area Inside House And Outside As Well
bungalows Fully Furnished 
3beds, 3 Attach baths, Parking Area, Washing Area, Terrace, 1 Dining Room, 1lounge, 
schools, Hospital, Gyms, 
perfect Ideal For Living In Your Dream House . 
pay And Move",3131207308,https://media.zameen.com/thumbnails/205176861-800x600.jpeg
29210681,"Falcon Complex New Malir, Malir, Karachi, Sindh",House,"Malir, Karachi, Sindh",4,5,350,For Rent,140000,"The correct property for you in Malir is directly inside your span. Hoping to Rent? We can wager you will not track down a superior alternative in the city. Relatively few properties are valued Rs 140,000. Thus, it's smarter to get the offer, before another person does. Carry on with your best life in 350 Square Yards now. We have the best posting for you Take it from us, a House like this doesn't come simple. So you should get the offer while you actually can, before another person does. The Falcon Complex New Malir has a popularity for private properties, given it is quickly growing. You can discover a very sensible property here. 


Discover why this property is the most ideal choice for you beneath. 

The property has a relaxing zone to permit you some space to breathe. 

A House that accompanies a space for study room permits more noteworthy space to set a private corner. 

The general public has a powerful garbage removal administration that guarantees tidiness. 

The property accompanies a children play territory so youngsters can invest some energy outside. 

A different lounge area region can do ponders for supper times and with this property, it tends to be yours. 

The property accompanies a private drawing and lounge area for when you have organization. 

For additional insights concerning the property, our numbers and web structure are given.",3301024312,https://media.zameen.com/thumbnails/213279967-800x600.jpeg
30657070,"Clifton, Karachi, Sindh",Flat,"Clifton, Karachi, Sindh",4,5,400,For Rent,220000,"Luxurious Apartment For Rent
located In Block 2
a Beautiful Design And Solid Building
brand New
com 3
having 3 Bed Room Attach Bath
drawing Dining Lounge
lift Generator Parking
all Modern Facilities
most Prime Location.",3363793619,https://media.zameen.com/thumbnails/205040663-800x600.jpeg
31239384,"Gohar Green City, Karachi, Sindh",House,"Gohar Green City, Karachi, Sindh",2,2,120,For Rent,35000,"Gohar Green City 120 Gaz Single Unit on Rent with all Ficibalty you need,Let's Elebrote your next Dream House. 
Gigantic, specious ,best location
,Boundary wall Society, Gas, Electriccity, water supply a dream House Villas life and parking area inside or outside, new well built Roads, parks, mosques, school 
2 lakhs advance in 4 month installment plain. Monthly Maintenance charges two thousand

Whatever kind of House you are looking for, you are in the right place to find it. Looking for a suitable place to rent? We can help you with the options. The 1080 Square Feet property you must explore. According to our analysis, price of PKR Rs. 28,000 is quite a for the property in question. Gohar Green City is full of facilities at every corner that make life easier. Gohar Green City has a thriving real estate market so you can be certain of finding the home of your dreams. 

These features below will convince you why this property is right for you. 
A barbeque area also adjoins the place and is perfect to entertain small gatherings. 
Your family time just got better with the airy sitting room that comes with this House. 
The House has several mosques nearby that you can reach at a short walk. 


Contact us now, and our representatives will give you all the details you nee",3131207308,https://media.zameen.com/thumbnails/205176630-800x600.jpeg
31450255,"Khaliq-uz-Zaman Road, Karachi, Sindh",Flat,"Khaliq-uz-Zaman Road, Karachi, Sindh",3,3,244,For Rent,125000,"This apartment includes 3 bed drawing dinning with a huge lounge west open ready to move with all great amenities included 
standby generator 
gym 
lobby
community hall. 
Please feel free to call if you need further details about it. I request that only serious individuals contact me to make an immediate deal, and please do not forget to mention Zameen. com when calling.",3333004902,https://media.zameen.com/thumbnails/206884041-800x600.jpeg
34013868,"Old Clifton, Karachi, Sindh",Flat,"Old Clifton, Karachi, Sindh",3,5,311,For Rent,270000,"FULLY FURNISHED & EQUIPPED Apartment For Expats and Multinational

Premium Location 
Apartment will be provided fully furnished and equipped (photos do not include furnishing) 

Sole Authorized Management Agent Wadley Associates",3009209128,https://media.zameen.com/thumbnails/206029600-800x600.jpeg
34074312,"Saima Presidency, Malir Cantonment, Cantt, Karachi, Sindh",Flat,"Cantt, Karachi, Sindh",3,3,178,For Rent,62000,"saima presidency 
3 bed dd duplex 1st  floor 
rent with maintenance 
62000
You do not have to search further, as this is the best Flat that fits your requirements. You should believe us when we say, this is one of the best properties on rent in the area. With an area spanning 1600 Square Feet, this will prove to be an ideal place for your family. With the top-notch facilities available at the highly affordable price of Rs. 62000 this is an opportunity you must avail. If you think that this property's location in Saima Presidency is just swell, we'd recommend that you sign up for it quickly. The Karachi is always changing and new opportunities emerge for the residents every day. 

Find out what the property entails below. 
A private dining room is also included in the property to allow you to have your meals in peace and harmony. 
The security staff will be available round the clock to ensure that residents can lead a peaceful life. 
From the wall carvings to the ornate fixtures, the luxurious drawing room will leave your guests in awe. 


If you still want to get the full low-down on this offer, please connect with us today.",3347391937,https://media.zameen.com/thumbnails/207400645-800x600.jpeg
35781536,"Clifton, Karachi, Sindh",Flat,"Clifton, Karachi, Sindh",3,4,222,For Rent,130000,"3 Bedroom Apartment Brand New 
lift Stand By Generator Car Parking 
24 Hour Sweet Water One Of The Best Project In Clifton Luxury Interior Decorated
a Spacious Flat In Clifton Is Hard To Come By, So Make Your Decision Quickly. The Flat Available For Rent Checks All The Boxes, So What Are You Waiting For? This 2000 Square Feet Sized Property Is Definitely A Bargain, So Please Consider Signing Up For It Quickly. With A Price Of Pkr RsView Contact Detail This Is The Best Property You Can Find In Clifton. Clifton Has Some Of The Best Property Deals, So What Are You Waiting For Your Dream Home In Clifton Will Be The Centre Of Attraction For All Your Friends. 

some Of The Salient Features Of This Property Are Described Here. 
keep Your Home Warm In Winters With Double-glazed Windows. 
now You Can Plan Mealtimes With More Detail With A Separate Dining Room That Comes With This Flat. 
you Can Feel Secure With Round-the-clock Security Staff That Patrols The Premises. 
thanks To Central Air Conditioning, The Temperature In The Flat Is Always Maintained. 
the Property Comes With A Powder Room - Adding To Its Many Convenient Features. 
this House Comes Complete With A Dedicated Drawing Room, Letting You Entertain Guests Easily. 
the Apartment Comes With A Spacious Lounge. 


if All These Things Pique Your Interest, You Really Should Contact Us And, We Assure You, You Won't Be Disappointed.",3363793619,https://media.zameen.com/thumbnails/205040222-800x600.jpeg
37196582,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt, Karachi, Sindh",House,"Cantt, Karachi, Sindh",5,5,375,For Rent,150000,"We can assist you narrowing down the right areas for House in Karachi. This rental property is with all the amenities required for a comfortable lifestyle. The 375 Square Yards property is great for a comfortable family life. The House comes with excellent features with a reasonable . This listing from Askari 5 - Sector J is perfect for you and your family. Become part of the ultimate lifestyle that awaits you in Karachi. 

Find out what the property entails below. 
This House comes with a sizeable dining room where you can have family meals together. 
Your kids can play to their heart's content in the play area adjoining the property. 
Your family time just got better with the airy sitting room that comes with this House. 
The House comes with a spacious study room that you can utilize any way you like. 
You can rely on round-the-clock waste disposal team to keep society neat and tidy. 
The drawing room of this House is its best feature as you get a private space to host formal friends. 


For booking and details, give us a call today.",3002189995,https://media.zameen.com/thumbnails/161207545-800x600.jpeg
37851829,"Navy Housing Scheme Zamzama, Zamzama, Karachi, Sindh",House,"Zamzama, Karachi, Sindh",5,5,1600,For Rent,1500000,"This Property Is Like Brand New And Immaculately Maintained. Smart Planning Of The House, With 8 Spacious Bedrooms With Attached Bathrooms. The House Is Constructed Such That 2 Families Can Easily Be Accommodated Without Privacy Invasion. 3 Bedrooms Have A Large Space For Walk-in Closet. Open & Bright Kitchen With Lots Of Natural Light. This House Is Nestled On One Of The Best Locations In Nhs Zamzama - One Of The Safest Living Communities In The City. For Visit Appointments, Please Contact The Undersigned Agent.",3332156348,https://media.zameen.com/thumbnails/213137230-800x600.jpeg
38509624,"Emaar Pearl Towers, Emaar Crescent Bay, DHA Phase 8, DHA Defence, Karachi, Sindh",Flat,"DHA Defence, Karachi, Sindh",4,4,407,For Rent,300000,"Apartment Features

- At Pearl Tower 2
- Proper sea facing
- View of ocean can be seen through all the rooms
- 4 bedroom with attached bathrooms
- Important quality sanitary used in toilets
- Important quality fittings and fixtures
- Huge and airy TV lounge
- Drawing room and dining area
- Powder room for guests
- Kitchen with built-in cabinets
- Washing and laundry area
- Maid Room
- Tile flooring

Project Features

- Advance security system with guards
- CCTV cameras installed throughout the project
- Completely managed by developer
- Secured car parking
- Waiting area for guests
- Reception and cart machines
- Branch of a well known bank
- Park and play area
- Gymnasium and community center for residents
- Project own mosque

Feel free to contact for further details",3332670737,https://media.zameen.com/thumbnails/205039046-800x600.jpeg
38807290,"Emaar Crescent Bay, DHA Phase 8, DHA Defence, Karachi, Sindh",Flat,"DHA Defence, Karachi, Sindh",2,3,178,For Rent,150000,"2 Bed 1600sqft Discover Luxury Living On A New Level With Crescent Bay, A Masterpiece Designed For People Who Have Grown To Appreciate The Finer Things In Life. Crescent Bay Will Offer A Vibrant Community Atmosphere With A Safe And Natural Ambiance. Arranged Along Three Bays, Crescent Bay Combines Breathtaking Natural Beauty With A Blend Of Traditional Styling And Contemporary Built-up. Crescent Bay Is Determined To Set A New Benchmark For The City S Elite To Live, Work, Play And Shop And Is Sure To Become The Most Desirable And Talked About Address In Karachi. 7 Towers Has Been Sold Out Now, 50 Families Reside In Community, 3000 Persons Expected To Live Within A Year.",3363793619,https://media.zameen.com/thumbnails/205040468-800x600.jpeg
39533367,"Emaar Crescent Bay, DHA Phase 8, DHA Defence, Karachi, Sindh",Flat,"DHA Defence, Karachi, Sindh",4,6,328,For Rent,338000,"Best For Living
Brand New Luxurious Apartment Available For Rent

Higher Floor
Full Sea Facing
2950 Sq. Ft
4 Bed 
6 Bath
Maid Room With Attached Bathroom Powder Room,
Reserved Car Parking

Project Features

Spectacular Views Of Sea And Landscaped Areas. 
sports Facilities And Jogging Tracks. 
beautifully Carved Park Walkways. 
dedicated Public Open Spaces Including Promenade, Parks, And Plazas
access To 5 Star Hotel, Retail Area
and Mosque
Retail Area Includes Leisure Activities,
Restaurants And Convenience Stores
access To Common Beaches
car Off Areas At Entrances

Amenities
kids Play Area
multipurpose Hall
gymnasium
communal Barbecue Area
children Pool
outdoor Swimming Pool

Features
Three High-Speed Elevators For Each Tower
one Service Lift Cargo
dedicated Car Parking
CCTV Security In Common Areas
entry Phone System (intercom)
high-Speed Internet
mail Box For Each Apartment
voice Communications
fire Protection System For Every Floor And Car Park
maintenance And Facility Management Service
external Clean And Sweep Service

Finishes
high-Level Ceilings In All Rooms
high Quality Finishes Throughout
fitted Wardrobes In Each Bedroom
designer Fitted Kitchen
marble Kitchen Counter Top
imported Stainless Steel Sink With Mixer Tap
ceramic Floor Tiles And Skirting
master Bathroom - Tempered Glass Shower
compartment And A Bath Tub With Double Vanities
high-Quality Imported Sanitary Fixtures And Fittings. 

Note The Picture in this ad is the same Apartment Which we gave you

S&B Real Estate Is The Authorized Dealer Specialist In Emaar Pakistan Oceanfront. 

For More Information, Don't Hesitate To Call, We Also Do Free Evaluation Of Your Property.",3229527867,https://media.zameen.com/thumbnails/205197747-800x600.jpeg
39808125,"Emaar Pearl Towers, Emaar Crescent Bay, DHA Phase 8, DHA Defence, Karachi, Sindh",Flat,"DHA Defence, Karachi, Sindh",3,4,356,For Rent,190000,"Emaar Apartment Pearl Tower 2 Full Sea Facing Out Class Location 20 Floor Available For Rent In Dha Karachi

Full Sea Facing 
3 Bedrooms With Attached bath
Drawing Room
Dining room
Big Lounge 
Stylish Kitchen
Maid Room With Washroom
Study room
Servant quater
Lift, carparking, stand by generator 24 hour security lift car parking recept, cctv camera system Full security service
Reserved Carparking
Size 3200 Square feet
Location Emaar Pearl Tower 2 full seafacing",,https://media.zameen.com/thumbnails/212354551-800x600.jpeg
39867407,"DHA Phase 8, DHA Defence, Karachi, Sindh",Flat,"DHA Defence, Karachi, Sindh",3,3,133,For Rent,110000,"Al Murtaza Commercial DHA Phase 8
3 BED LOUNGE
1200 Sqfts 
5th Floor
With Lift, Car Parking And Back Up Generator 
Tile Flooring
West Open
Like Brand New
FULLY FURNISHED OUTCLASS 
Family Building 
Front Entrance
Prime Location 
Near Mehran Ice And Spice
Reasonable Demand. 


Please Feel Free To Call Us If You Need Further Details About It. We Request That Only Serious Individuals Contact Us To Make An Immediate Deal, And Please Do Not Forget To Mention Zameen. com When Calling.",3032785863,https://media.zameen.com/thumbnails/205879076-800x600.jpeg
39898377,"Creek Vista, DHA Phase 8, DHA Defence, Karachi, Sindh",Flat,"DHA Defence, Karachi, Sindh",3,4,411,For Rent,225000,Creek Vista Apartment 4 Bedroom Renovated Furnished Unfurnished,3216224432,https://media.zameen.com/thumbnails/212354510-800x600.jpeg
39943816,"DHA Phase 6, DHA Defence, Karachi, Sindh",Upper Portion,"DHA Defence, Karachi, Sindh",4,4,500,For Rent,140000,"Defence phase 6 500 yard upper portion for rent 4 bedroom separate water tank electric and gas meter line water rent 1 car parking. 
This property helps you out for your searches on a Upper Portion. Looking to rent? We can bet you won't find a better option in the city. With a 4500 Square Feet area size like this, this property is definitely a bargain on this budget. The Upper Portion valued at PKR Rs. 140,000 is reasonable, given its features. DHA Phase 6 is the top choice for investors due to its proximity from facilities. The city of Karachi is ideal for the people looking to start a new chapter in their lives. 

Details of the property are mentioned below. 
Be the center of attention at your dinner hosting's, with the stunning dining room that is part of this property. 
Play a board game, watch TV, have a go at Xbox in the lounging area of your new home. 
You can organize and set your washing area as you like in the separate laundry room of the Upper Portion. 
You can use the powder room of the property as an additional bathroom. 
Double-glazed windows in your Upper Portion can help reduce energy costs. 
The community garden nearby serves as a playground for the kids and a great place to socialise with your neighbours. 
Entertain guests whenever you want in this spacious drawing room. 


Have questions? Get in contact with us.",3458223174,https://media.zameen.com/thumbnails/205145003-800x600.jpeg
40078858,"Lakhani Fantasia, Scheme 33, Karachi, Sindh",Flat,"Scheme 33, Karachi, Sindh",1,1,50,For Rent,18000,"Lakhani fantasia 1 Bed Lounge  Luxurious  Apartment for Rent

Fresh Water supply 24\7 
Gas facility 24\7
Electricity facility 24\7
Stand by Generators for Corridors & Lifts
Each block has 2 Lifts (1 Cargo & 1 Passenger)
Kids Play Area with Swings & Sitting Area for Ladies
Security guards available 24\7 also CCTV footage security in whole building
Reception area available with waiting area. 
(Milk shop, Mart, Agha juice shop & Necessary shops are available in surroundings)

Rent 18000
Maintenance:4000

Location: scheme 33 near Safoora Chowrangi
Sell & Rent Also available
1 bed lounge apartment
2 bed lounge apartment
2 bed DD apartment

Feel free to contact",3132048988,https://media.zameen.com/thumbnails/205661250-800x600.jpeg
40108425,"Clifton - Block 2, Clifton, Karachi, Sindh",Flat,"Clifton, Karachi, Sindh",3,3,161,For Rent,90000,"Elegance Residency Clifton Block 2
3 BED DD
10h Floor 
1450 Sqfts 
Lift And Car Parking With Stand By Generator 
Tile Flooring
West Open
Like Brand New Furniture 
FULLY FURNISHED OUTCLASS 
Family Building 
Front Entrance
Prime Location 
Reasonable Demand. 


Please Feel Free To Call Us If You Need Further Details About It. We Request That Only Serious Individuals Contact Us To Make An Immediate Deal, And Please Do Not Forget To Mention Zameen. com When Calling",3032785863,https://media.zameen.com/thumbnails/205878824-800x600.jpeg
40227374,"Falcon Complex New Malir, Malir, Karachi, Sindh",House,"Malir, Karachi, Sindh",2,3,500,For Rent,160000,"The House comes with all the basic features necessary for a comfortable living. We've got you covered with this best property to rent. Moreover, it has some pretty neat features. The number of 500 Square Yards options in the Falcon Complex New Malir can be limited, so hurry up. You will be hard-pressed to find such a price of in the area. Residents of Falcon Complex New Malir have not reported any major problems so far, so book your property today. Explore all the property you could ask for in Karachi. 

You can find out more about the property below. 
This House comes with a spacious drawing room to seat your special guests. 
Your kids can play to their heart's content in the play area adjoining the property. 
Enjoy family time in the lounge that comes with this House. 
Waste disposal services ensures the surrounding is clean 24 7. 
You can easily host a 3-course dinner party in this large dining room that comes with this House. 
A study room in the House is ideal for the students and those working from home. 


For advice on current rentals, you can give us a call right away.",3111834465,https://media.zameen.com/thumbnails/212405906-800x600.jpeg
40482491,"DHA Phase 7, DHA Defence, Karachi, Sindh",Upper Portion,"DHA Defence, Karachi, Sindh",4,4,600,For Rent,150000,"Defence  vii 600 yard Upper portion for rent 
4 bedroom marble flooring Separate GATE 
water tank electric and gas meter 2 car parking",3458223174,https://media.zameen.com/thumbnails/205145136-800x600.jpeg
40574548,"DHA Phase 7, DHA Defence, Karachi, Sindh",Upper Portion,"DHA Defence, Karachi, Sindh",3,3,500,For Rent,130000,"UPPER PORTION FOR RENT 
PHASE 7 
3 BEDROOM 
DRAWING 
DINING 
TV LAUNCH 
KITCHEN 
MURBLE FLOORING 
LINE WATER 
RENT",3458223174,https://media.zameen.com/thumbnails/205145015-800x600.jpeg
40574559,"DHA Phase 7, DHA Defence, Karachi, Sindh",Upper Portion,"DHA Defence, Karachi, Sindh",3,3,500,For Rent,140000,"Upper Portion For Rent 
phase 7 
3 Bedroom 
drawing 
dining 
tv  Launch 
kitchen 
murble Flooring 
line Water 
rent",,https://media.zameen.com/thumbnails/205144923-800x600.jpeg
40696843,"Clifton - Block 7, Clifton, Karachi, Sindh",Flat,"Clifton, Karachi, Sindh",4,4,311,For Rent,160000,"3 bedroom 2750 sq ft well maintained and recently constructed unfurnished apartment with lift, car parking and standby generator on 5th floor at Block 7 Clifton 

Demand: Rs. 1lac 60 thousand /- (Negotiable)
Maintenance: Rs. 18 thousand /- (Without water)

For further information contact",3053862188,https://media.zameen.com/thumbnails/206161508-800x600.jpeg
40827685,"North Nazimabad - Block J, North Nazimabad, Karachi, Sindh",Flat,"North Nazimabad, Karachi, Sindh",2,2,89,For Purchase,9000000,"2 beds With Attached Washrooms & Lounge 3rd Floor ; 
Lift Installed In This Flats ; 
Very Good Location ; Newly Constructed Brand New Flats 
At ( Main Road) Rent Asking 30,000/- With Maintenance. . .",3118204461,https://media.zameen.com/thumbnails/212641743-800x600.jpeg
40877287,"Falcon Complex New Malir, Malir, Karachi, Sindh",House,"Malir, Karachi, Sindh",5,5,500,For Rent,168000,"You're in for luck, as House is available at affordable prices. Rent your dream property today from the many options we have for you. Purchasing this 500 Square Yards House is a decision you will not regret. Looking for a house? At a price of PKR this is a great deal. This Falcon Complex New Malir is currently at the top of our listings. Take our word, and sign up for it quickly. We help your dream property in Karachi. 

Following are some details of the property. 
The premise is kept clean at all times through an effective waste disposal management service. 
You and your children can plan a study routine, utilizing the study room in the House without worrying about space. 
The drawing room in this house lets you entertain your guests in a neat and beautiful space. 
You can decorate the expansive lounge area any way you like that comes with this property. 
The open dining room that comes with this property is perfect for large family gatherings. 
Your kids can play to their heart's content in the play area adjoining the property. 


No matter what your property queries are, contact us to get the best answers.",3322440786,https://media.zameen.com/thumbnails/205971950-800x600.jpeg
